ms,seg,mouseX,mouseY,L,T,R,B,W,H
32,top-R1,1331,3,1016,0,1646,510,630,510
45,top-R1,1382,3,1016,0,1646,510,630,510
60,top-R1,1433,3,1118,0,1748,510,630,510
76,top-R1,1484,3,1169,0,1799,510,630,510
92,top-R1,1535,3,1220,0,1850,510,630,510
108,top-R1,1586,3,1271,0,1901,510,630,510
123,top-R1,1638,3,1323,0,1953,510,630,510
139,top-R1,1689,3,1374,0,2004,510,630,510
154,top-R1,1740,3,1425,0,2055,510,630,510
170,top-R1,1791,3,1476,0,2106,510,630,510
186,top-R1,1842,3,1527,0,2157,510,630,510
201,top-R1,1893,3,1527,0,2157,510,630,510
217,top-R1,1944,3,1629,0,2259,510,630,510
232,top-R1,1995,3,1680,0,2310,510,630,510
248,top-R1,2046,3,1731,0,2361,510,630,510
264,top-R1,2097,3,1782,0,2412,510,630,510
279,top-R1,2148,3,1833,0,2463,510,630,510
295,top-R1,2199,3,1884,0,2514,510,630,510
310,top-R1,2251,3,1930,0,2560,510,630,510
325,top-R1,2302,3,1930,0,2560,510,630,510
340,top-R1,2353,3,1930,0,2560,510,630,510
356,top-R1,2404,3,1930,0,2560,510,630,510
371,top-R1,2455,3,1930,0,2560,510,630,510
387,top-R1,2506,3,1930,0,2560,510,630,510
404,top-R1,2557,3,1930,0,2560,510,630,510
419,right-R1,2557,54,1930,-510,2560,0,630,510
435,right-R1,2557,106,1930,-450,2560,60,630,510
452,right-R1,2557,157,1930,-155,2560,355,630,510
466,right-R1,2557,209,1930,0,2560,510,630,510
482,right-R1,2557,260,1930,5,2560,515,630,510
496,right-R1,2557,312,1930,57,2560,567,630,510
512,right-R1,2557,363,1930,108,2560,618,630,510
528,right-R1,2557,414,1930,108,2560,618,630,510
543,right-R1,2557,466,1930,211,2560,721,630,510
558,right-R1,2557,517,1930,211,2560,721,630,510
574,right-R1,2557,569,1930,211,2560,721,630,510
590,right-R1,2557,620,1930,211,2560,721,630,510
605,right-R1,2557,671,1930,416,2560,926,630,510
621,right-R1,2557,723,1930,416,2560,926,630,510
637,right-R1,2557,774,1930,519,2560,1029,630,510
652,right-R1,2557,826,1930,519,2560,1029,630,510
668,right-R1,2557,877,1930,622,2560,1132,630,510
684,right-R1,2557,929,1930,674,2560,1184,630,510
700,right-R1,2557,980,1930,725,2560,1235,630,510
716,right-R1,2557,1031,1930,776,2560,1286,630,510
731,right-R1,2557,1083,1930,828,2560,1338,630,510
747,right-R1,2557,1134,1930,879,2560,1389,630,510
762,right-R1,2557,1186,1930,931,2560,1441,630,510
777,right-R1,2557,1237,1930,982,2560,1492,630,510
794,right-R1,2557,1288,1930,1033,2560,1543,630,510
809,right-R1,2557,1340,1930,1033,2560,1543,630,510
824,right-R1,2557,1391,1930,1090,2560,1600,630,510
840,right-R1,2557,1443,1930,1090,2560,1600,630,510
855,right-R1,2557,1494,1930,1090,2560,1600,630,510
871,right-R1,2557,1546,1930,1090,2560,1600,630,510
901,right-R1,2557,1597,0,0,630,510,630,510
932,bottom-R1,2506,1597,1768,839,2294,1349,526,510
948,bottom-R1,2455,1597,1991,1063,2504,1573,513,510
963,bottom-R1,2404,1597,2029,1105,2539,1615,510,510
978,bottom-R1,2353,1597,2048,1134,2558,1555,510,421
993,bottom-R1,2302,1597,2050,1137,2560,1528,510,391
1009,bottom-R1,2251,1597,2050,1138,2560,1528,510,390
1023,bottom-R1,2199,1597,1944,1138,2454,1528,510,390
1040,bottom-R1,2148,1597,1944,1138,2454,1528,510,390
1055,bottom-R1,2097,1597,1842,1138,2352,1528,510,390
1071,bottom-R1,2046,1597,1842,1138,2352,1528,510,390
1085,bottom-R1,1995,1597,1740,1138,2250,1528,510,390
1101,bottom-R1,1944,1597,1740,1138,2250,1528,510,390
1117,bottom-R1,1893,1597,1638,1138,2148,1528,510,390
1132,bottom-R1,1842,1597,2050,1138,2560,1528,510,390
1147,bottom-R1,1791,1597,1536,1138,2046,1528,510,390
1163,bottom-R1,1740,1597,1485,1138,1995,1528,510,390
1177,bottom-R1,1689,1597,1434,1138,1944,1528,510,390
1193,bottom-R1,1638,1597,1383,1138,1893,1528,510,390
1208,bottom-R1,1586,1597,1383,1138,1893,1528,510,390
1225,bottom-R1,1535,1597,1280,1138,1790,1528,510,390
1240,bottom-R1,1484,1597,1229,1138,1739,1528,510,390
1255,bottom-R1,1433,1597,1178,1138,1688,1528,510,390
1271,bottom-R1,1382,1597,1178,1138,1688,1528,510,390
1286,bottom-R1,1331,1597,1076,1138,1586,1528,510,390
1302,bottom-R1,1280,1597,1025,1138,1535,1528,510,390
1317,bottom-R1,1229,1597,974,1138,1484,1528,510,390
1333,bottom-R1,1178,1597,923,1138,1433,1528,510,390
1349,bottom-R1,1127,1597,923,1138,1433,1528,510,390
1366,bottom-R1,1076,1597,821,1138,1331,1528,510,390
1382,bottom-R1,1025,1597,770,1138,1280,1528,510,390
1396,bottom-R1,974,1597,719,1138,1229,1528,510,390
1412,bottom-R1,922,1597,719,1138,1229,1528,510,390
1427,bottom-R1,871,1597,616,1138,1126,1528,510,390
1444,bottom-R1,820,1597,565,1138,1075,1528,510,390
1458,bottom-R1,769,1597,514,1138,1024,1528,510,390
1474,bottom-R1,718,1597,463,1138,973,1528,510,390
1489,bottom-R1,667,1597,412,1138,922,1528,510,390
1506,bottom-R1,616,1597,361,1138,871,1528,510,390
1520,bottom-R1,565,1597,310,1138,820,1528,510,390
1536,bottom-R1,514,1597,310,1138,820,1528,510,390
1551,bottom-R1,463,1597,208,1138,718,1528,510,390
1566,bottom-R1,412,1597,157,1138,667,1528,510,390
1581,bottom-R1,361,1597,106,1138,616,1528,510,390
1597,bottom-R1,309,1597,106,1138,616,1528,510,390
1613,bottom-R1,258,1597,3,1138,513,1528,510,390
1628,bottom-R1,207,1597,3,1138,513,1528,510,390
1644,bottom-R1,156,1597,3,1138,513,1528,510,390
1660,bottom-R1,105,1597,0,1138,510,1528,510,390
1675,bottom-R1,54,1597,0,1138,510,1528,510,390
1691,bottom-R1,3,1597,0,0,510,390,510,390
1706,left-R1,3,1546,0,0,510,390,510,390
1722,left-R1,3,1494,0,0,510,390,510,390
1737,left-R1,3,1443,0,0,510,390,510,390
1753,left-R1,3,1391,0,1196,510,1586,510,390
1768,left-R1,3,1340,-510,1145,0,1535,510,390
1784,left-R1,3,1288,-233,1145,277,1535,510,390
1800,left-R1,3,1237,-107,1145,403,1535,510,390
1815,left-R1,3,1186,-70,1145,440,1535,510,390
1831,left-R1,3,1134,-43,1145,467,1535,510,390
1846,left-R1,3,1083,-43,1145,467,1535,510,390
1861,left-R1,3,1031,-15,1145,495,1535,510,390
1876,left-R1,3,980,-510,785,0,1175,510,390
1892,left-R1,3,929,-396,785,114,1175,510,390
1908,left-R1,3,877,0,1145,510,1535,510,390
1923,left-R1,3,826,0,1145,510,1535,510,390
1938,left-R1,3,774,0,1145,510,1535,510,390
1953,left-R1,3,723,0,1145,510,1535,510,390
1968,left-R1,3,671,-451,476,59,866,510,390
1984,left-R1,3,620,-451,476,59,866,510,390
2000,left-R1,3,569,0,374,510,764,510,390
2015,left-R1,3,517,0,374,510,764,510,390
2031,left-R1,3,466,0,271,510,661,510,390
2046,left-R1,3,414,0,219,510,609,510,390
2061,left-R1,3,363,0,168,510,558,510,390
2076,left-R1,3,312,0,117,510,507,510,390
2092,left-R1,3,260,0,65,510,455,510,390
2108,left-R1,3,209,0,14,510,404,510,390
2123,left-R1,3,157,0,0,510,390,510,390
2139,left-R1,3,106,0,0,510,390,510,390
