ms,seg,mouseX,mouseY,L,T,R,B,W,H
31,top-R1,1331,3,1016,0,1646,510,630,510
60,top-R1,1382,3,1067,0,1697,510,630,510
75,top-R1,1433,3,1118,0,1748,510,630,510
90,top-R1,1484,3,1169,0,1799,510,630,510
121,top-R1,1535,3,1220,0,1850,510,630,510
137,top-R1,1586,3,1271,0,1901,510,630,510
167,top-R1,1638,3,1323,0,1953,510,630,510
198,top-R1,1689,3,1374,0,2004,510,630,510
214,top-R1,1740,3,1425,0,2055,510,630,510
229,top-R1,1791,3,1463,0,2093,510,630,510
245,top-R1,1842,3,1527,0,2157,510,630,510
260,top-R1,1893,3,1527,0,2157,510,630,510
276,top-R1,1944,3,1629,0,2259,510,630,510
291,top-R1,1995,3,1629,0,2259,510,630,510
322,top-R1,2046,3,1731,0,2361,510,630,510
338,top-R1,2097,3,1782,0,2412,510,630,510
353,top-R1,2148,3,1782,0,2412,510,630,510
369,top-R1,2199,3,1884,0,2514,510,630,510
384,top-R1,2251,3,1884,0,2514,510,630,510
400,top-R1,2302,3,1930,0,2560,510,630,510
417,top-R1,2353,3,1930,0,2560,510,630,510
448,top-R1,2404,3,1930,0,2560,510,630,510
479,top-R1,2455,3,1930,0,2560,510,630,510
510,top-R1,2506,3,1930,0,2560,510,630,510
526,top-R1,2557,3,1930,0,2560,510,630,510
541,right-R1,2557,54,1930,-510,2560,0,630,510
557,right-R1,2557,106,1930,-510,2560,0,630,510
572,right-R1,2557,157,1930,-75,2560,435,630,510
587,right-R1,2557,209,1930,-75,2560,435,630,510
602,right-R1,2557,260,1930,-75,2560,435,630,510
618,right-R1,2557,312,1578,0,2560,525,982,525
633,right-R1,2557,363,1578,0,2560,525,982,525
649,right-R1,2557,414,2560,152,3542,677,982,525
665,right-R1,2557,466,2560,152,3542,677,982,525
680,right-R1,2557,517,2091,152,3073,677,982,525
695,right-R1,2557,569,2091,152,3073,677,982,525
711,right-R1,2557,620,1930,0,2912,525,982,525
737,right-R1,2557,671,1930,0,2912,525,982,525
758,right-R1,2557,723,1930,0,2912,525,982,525
773,right-R1,2557,774,1930,0,2912,525,982,525
788,right-R1,2557,826,1930,0,2912,525,982,525
804,right-R1,2557,877,1930,0,2912,525,982,525
819,right-R1,2557,929,1930,0,2912,525,982,525
835,right-R1,2557,980,1930,152,2912,677,982,525
850,right-R1,2557,1031,1930,152,2912,677,982,525
867,right-R1,2557,1083,1930,152,2912,677,982,525
882,right-R1,2557,1134,1930,152,2912,677,982,525
897,right-R1,2557,1186,1579,923,2561,1448,982,525
912,right-R1,2557,1237,2560,975,3542,1500,982,525
928,right-R1,2557,1288,2560,975,3542,1500,982,525
943,right-R1,2557,1340,2301,975,3283,1500,982,525
958,right-R1,2557,1391,2100,975,3082,1500,982,525
975,right-R1,2557,1443,2100,975,3082,1500,982,525
990,right-R1,2557,1494,2011,975,2993,1500,982,525
1006,right-R1,2557,1546,2011,975,2993,1500,982,525
1021,right-R1,2557,1597,1953,975,2935,1500,982,525
1037,bottom-R1,2506,1597,1953,975,2935,1500,982,525
1053,bottom-R1,2455,1597,1937,975,2919,1500,982,525
1069,bottom-R1,2404,1597,1937,975,2919,1500,982,525
1084,bottom-R1,2353,1597,1930,975,2912,1500,982,525
1099,bottom-R1,2302,1597,1666,975,2648,1500,982,525
1114,bottom-R1,2251,1597,1578,1003,2560,1528,982,525
1131,bottom-R1,2199,1597,1578,1003,2560,1528,982,525
1146,bottom-R1,2148,1597,1578,1003,2560,1528,982,525
1162,bottom-R1,2097,1597,1578,1003,2560,1528,982,525
1177,bottom-R1,2046,1597,1555,1003,2537,1528,982,525
1193,bottom-R1,1995,1597,1555,1003,2537,1528,982,525
1209,bottom-R1,1944,1597,1453,1003,2435,1528,982,525
1224,bottom-R1,1893,1597,1402,1003,2384,1528,982,525
1240,bottom-R1,1842,1597,1351,1003,2333,1528,982,525
1255,bottom-R1,1791,1597,1300,1003,2282,1528,982,525
1271,bottom-R1,1740,1597,1249,1003,2231,1528,982,525
1286,bottom-R1,1689,1597,1198,1003,2180,1528,982,525
1302,bottom-R1,1638,1597,1147,1003,2129,1528,982,525
1318,bottom-R1,1586,1597,1095,1003,2077,1528,982,525
1334,bottom-R1,1535,1597,1044,1003,2026,1528,982,525
1349,bottom-R1,1484,1597,993,1003,1975,1528,982,525
1365,bottom-R1,1433,1597,942,1003,1924,1528,982,525
1381,bottom-R1,1382,1597,891,1003,1873,1528,982,525
1396,bottom-R1,1331,1597,840,1003,1822,1528,982,525
1412,bottom-R1,1280,1597,789,1003,1771,1528,982,525
1427,bottom-R1,1229,1597,738,1003,1720,1528,982,525
1443,bottom-R1,1178,1597,687,1003,1669,1528,982,525
1459,bottom-R1,1127,1597,636,1003,1618,1528,982,525
1474,bottom-R1,1076,1597,585,1003,1567,1528,982,525
1491,bottom-R1,1025,1597,585,1003,1567,1528,982,525
1505,bottom-R1,974,1597,483,1003,1465,1528,982,525
1520,bottom-R1,922,1597,431,1003,1413,1528,982,525
1536,bottom-R1,871,1597,380,1003,1362,1528,982,525
1551,bottom-R1,820,1597,329,1003,1311,1528,982,525
1567,bottom-R1,769,1597,278,1003,1260,1528,982,525
1582,bottom-R1,718,1597,227,1003,1209,1528,982,525
1598,bottom-R1,667,1597,176,1003,1158,1528,982,525
1613,bottom-R1,616,1597,125,1003,1107,1528,982,525
1628,bottom-R1,565,1597,74,1003,1056,1528,982,525
1643,bottom-R1,514,1597,23,1003,1005,1528,982,525
1659,bottom-R1,463,1597,0,1003,982,1528,982,525
1675,bottom-R1,412,1597,0,1003,982,1528,982,525
1690,bottom-R1,361,1597,0,1003,982,1528,982,525
1706,bottom-R1,309,1597,0,1003,982,1528,982,525
1721,bottom-R1,258,1597,0,1003,982,1528,982,525
1737,bottom-R1,207,1597,0,1003,982,1528,982,525
1753,bottom-R1,156,1597,0,1003,982,1528,982,525
