ms,seg,mouseX,mouseY,L,T,R,B,W,H
29,top-R1,1331,3,1016,0,1646,510,630,510
57,top-R1,1382,3,1067,0,1697,510,630,510
73,top-R1,1433,3,1067,0,1697,510,630,510
89,top-R1,1484,3,1169,0,1799,510,630,510
105,top-R1,1535,3,1169,0,1799,510,630,510
121,top-R1,1586,3,1271,0,1901,510,630,510
136,top-R1,1638,3,1271,0,1901,510,630,510
151,top-R1,1689,3,1374,0,2004,510,630,510
167,top-R1,1740,3,1374,0,2004,510,630,510
182,top-R1,1791,3,1476,0,2106,510,630,510
197,top-R1,1842,3,1476,0,2106,510,630,510
213,top-R1,1893,3,1578,0,2208,510,630,510
228,top-R1,1944,3,1578,0,2208,510,630,510
244,top-R1,1995,3,1680,0,2310,510,630,510
260,top-R1,2046,3,1680,0,2310,510,630,510
276,top-R1,2097,3,1782,0,2412,510,630,510
291,top-R1,2148,3,1820,0,2450,510,630,510
306,top-R1,2199,3,1884,0,2514,510,630,510
323,top-R1,2251,3,1884,0,2514,510,630,510
338,top-R1,2302,3,1930,0,2560,510,630,510
354,top-R1,2353,3,1930,0,2560,510,630,510
370,top-R1,2404,3,1930,0,2560,510,630,510
385,top-R1,2455,3,1930,0,2560,510,630,510
402,top-R1,2506,3,1930,0,2560,510,630,510
417,top-R1,2557,3,1930,0,2560,510,630,510
433,right-R1,2557,54,1930,-510,2560,0,630,510
449,right-R1,2557,106,1930,-510,2560,0,630,510
464,right-R1,2557,157,1930,-75,2560,435,630,510
480,right-R1,2557,209,1930,-75,2560,435,630,510
495,right-R1,2557,260,1930,-75,2560,435,630,510
511,right-R1,2557,312,1578,0,2560,525,982,525
527,right-R1,2557,363,1578,0,2560,525,982,525
542,right-R1,2557,414,1578,149,2560,674,982,525
558,right-R1,2557,466,1824,204,2806,729,982,525
573,right-R1,2557,517,2560,255,3542,780,982,525
589,right-R1,2557,569,2560,255,3542,780,982,525
604,right-R1,2557,620,2147,255,3129,780,982,525
