ms,seg,mouseX,mouseY,L,T,R,B,W,H
28,top2right-R1,1331,35,965,0,1595,510,630,510
57,top2right-R1,1382,67,965,0,1595,510,630,510
72,top2right-R1,1433,99,965,0,1595,510,630,510
88,top2right-R1,1484,131,965,0,1595,510,630,510
104,top2right-R1,1535,162,965,0,1595,510,630,510
119,top2right-R1,1586,194,965,0,1595,510,630,510
134,top2right-R1,1638,226,965,0,1595,510,630,510
150,top2right-R1,1689,258,965,0,1595,510,630,510
166,top2right-R1,1740,290,965,0,1595,510,630,510
181,top2right-R1,1791,322,965,0,1595,510,630,510
197,top2right-R1,1842,354,965,0,1595,510,630,510
211,top2right-R1,1893,386,965,0,1595,510,630,510
227,top2right-R1,1944,417,965,0,1595,510,630,510
243,top2right-R1,1995,449,965,0,1595,510,630,510
259,top2right-R1,2046,481,965,0,1595,510,630,510
274,top2right-R1,2097,513,965,0,1595,510,630,510
289,top2right-R1,2148,545,965,0,1595,510,630,510
304,top2right-R1,2199,577,965,0,1595,510,630,510
319,top2right-R1,2251,609,965,0,1595,510,630,510
336,top2right-R1,2302,641,965,0,1595,510,630,510
351,top2right-R1,2353,672,965,0,1595,510,630,510
367,top2right-R1,2404,704,965,0,1595,510,630,510
382,top2right-R1,2455,736,965,-170,1595,340,630,510
398,top2right-R1,2506,768,965,-453,1595,57,630,510
414,top2right-R1,2557,800,965,-524,1595,-14,630,510
429,right2bottom-R1,2506,832,965,-528,1595,-18,630,510
445,right2bottom-R1,2455,864,965,-528,1595,-18,630,510
461,right2bottom-R1,2404,896,965,-528,1595,-18,630,510
477,right2bottom-R1,2353,928,965,-528,1595,-18,630,510
493,right2bottom-R1,2302,959,965,-528,1595,-18,630,510
509,right2bottom-R1,2251,991,965,-528,1595,-18,630,510
525,right2bottom-R1,2199,1023,965,-528,1595,-18,630,510
540,right2bottom-R1,2148,1055,965,-528,1595,-18,630,510
556,right2bottom-R1,2097,1087,965,-528,1595,-18,630,510
572,right2bottom-R1,2046,1119,965,-528,1595,-18,630,510
587,right2bottom-R1,1995,1151,965,-528,1595,-18,630,510
602,right2bottom-R1,1944,1183,965,-528,1595,-18,630,510
