ms,seg,mouseX,mouseY,L,T,R,B,W,H
28,top2right-R1,1331,35,853,0,1483,600,630,600
55,top2right-R1,1382,67,853,0,1483,600,630,600
86,top2right-R1,1433,99,853,0,1483,600,630,600
101,top2right-R1,1484,131,853,0,1483,600,630,600
116,top2right-R1,1535,162,853,0,1483,600,630,600
131,top2right-R1,1586,194,1232,-97,1862,503,630,600
147,top2right-R1,1638,226,1269,-106,1899,494,630,600
163,top2right-R1,1689,258,1269,-106,1899,494,630,600
178,top2right-R1,1740,290,1269,-106,1899,494,630,600
193,top2right-R1,1791,322,945,0,1575,600,630,600
209,top2right-R1,1842,354,945,0,1575,600,630,600
225,top2right-R1,1893,386,884,0,1514,600,630,600
240,top2right-R1,1944,417,884,0,1514,600,630,600
256,top2right-R1,1995,449,865,0,1495,600,630,600
272,top2right-R1,2046,481,865,0,1495,600,630,600
287,top2right-R1,2097,513,856,0,1486,600,630,600
303,top2right-R1,2148,545,854,0,1484,600,630,600
319,top2right-R1,2199,577,853,0,1483,600,630,600
334,top2right-R1,2251,609,1768,245,2398,845,630,600
350,top2right-R1,2302,641,1880,276,2510,876,630,600
365,top2right-R1,2353,672,1882,277,2512,877,630,600
381,top2right-R1,2404,704,1882,277,2512,877,630,600
397,top2right-R1,2455,736,963,286,1593,886,630,600
413,top2right-R1,2506,768,914,278,1544,878,630,600
443,top2right-R1,2557,800,857,281,1487,881,630,600
459,right2bottom-R1,2506,832,865,277,1495,877,630,600
474,right2bottom-R1,2455,864,853,278,1483,878,630,600
491,right2bottom-R1,2404,896,853,277,1483,877,630,600
505,right2bottom-R1,2353,928,853,277,1483,877,630,600
521,right2bottom-R1,2302,959,853,277,1483,877,630,600
536,right2bottom-R1,2251,991,1809,589,2439,1189,630,600
551,right2bottom-R1,2199,1023,1923,626,2553,1226,630,600
567,right2bottom-R1,2148,1055,1929,628,2559,1228,630,600
584,right2bottom-R1,2097,1087,1929,628,2559,1228,630,600
598,right2bottom-R1,2046,1119,1929,628,2559,1228,630,600
614,right2bottom-R1,1995,1151,1583,628,2213,1228,630,600
630,right2bottom-R1,1944,1183,1583,628,2213,1228,630,600
645,right2bottom-R1,1893,1214,1583,628,2213,1228,630,600
662,right2bottom-R1,1842,1246,931,628,1561,1228,630,600
677,right2bottom-R1,1791,1278,854,632,1484,1232,630,600
692,right2bottom-R1,1740,1310,856,628,1486,1228,630,600
708,right2bottom-R1,1689,1342,854,628,1484,1228,630,600
723,right2bottom-R1,1638,1374,853,628,1483,1228,630,600
739,right2bottom-R1,1586,1406,853,628,1483,1228,630,600
