ms,seg,mouseX,mouseY,L,T,R,B,W,H
34,top2right-R1,1331,35,965,0,1595,510,630,510
64,top2right-R1,1382,67,965,0,1595,510,630,510
79,top2right-R1,1433,99,965,0,1595,510,630,510
94,top2right-R1,1484,131,965,0,1595,510,630,510
110,top2right-R1,1535,162,965,0,1595,510,630,510
125,top2right-R1,1586,194,965,0,1595,510,630,510
140,top2right-R1,1638,226,965,0,1595,510,630,510
157,top2right-R1,1689,258,965,0,1595,510,630,510
172,top2right-R1,1740,290,965,0,1595,510,630,510
188,top2right-R1,1791,322,965,0,1595,510,630,510
204,top2right-R1,1842,354,965,0,1595,510,630,510
218,top2right-R1,1893,386,965,0,1595,510,630,510
234,top2right-R1,1944,417,965,0,1595,510,630,510
249,top2right-R1,1995,449,965,0,1595,510,630,510
265,top2right-R1,2046,481,965,0,1595,510,630,510
280,top2right-R1,2097,513,965,0,1595,510,630,510
296,top2right-R1,2148,545,965,0,1595,510,630,510
312,top2right-R1,2199,577,965,0,1595,510,630,510
327,top2right-R1,2251,609,965,0,1595,510,630,510
344,top2right-R1,2302,641,965,0,1595,510,630,510
359,top2right-R1,2353,672,965,0,1595,510,630,510
375,top2right-R1,2404,704,965,0,1595,510,630,510
391,top2right-R1,2455,736,965,0,1595,510,630,510
406,top2right-R1,2506,768,965,-217,1595,293,630,510
423,top2right-R1,2557,800,965,-217,1595,293,630,510
438,right2bottom-R1,2506,832,965,-497,1595,13,630,510
453,right2bottom-R1,2455,864,965,-528,1595,-18,630,510
468,right2bottom-R1,2404,896,965,-528,1595,-18,630,510
484,right2bottom-R1,2353,928,965,-528,1595,-18,630,510
499,right2bottom-R1,2302,959,965,-528,1595,-18,630,510
515,right2bottom-R1,2251,991,965,-528,1595,-18,630,510
530,right2bottom-R1,2199,1023,965,-528,1595,-18,630,510
546,right2bottom-R1,2148,1055,965,-528,1595,-18,630,510
561,right2bottom-R1,2097,1087,965,-528,1595,-18,630,510
577,right2bottom-R1,2046,1119,965,-528,1595,-18,630,510
593,right2bottom-R1,1995,1151,965,-528,1595,-18,630,510
609,right2bottom-R1,1944,1183,965,-528,1595,-18,630,510
624,right2bottom-R1,1893,1214,965,-528,1595,-18,630,510
640,right2bottom-R1,1842,1246,965,-528,1595,-18,630,510
655,right2bottom-R1,1791,1278,965,-528,1595,-18,630,510
670,right2bottom-R1,1740,1310,965,-528,1595,-18,630,510
686,right2bottom-R1,1689,1342,965,-528,1595,-18,630,510
702,right2bottom-R1,1638,1374,965,-528,1595,-18,630,510
716,right2bottom-R1,1586,1406,965,-528,1595,-18,630,510
732,right2bottom-R1,1535,1438,965,-528,1595,-18,630,510
748,right2bottom-R1,1484,1469,965,-528,1595,-18,630,510
764,right2bottom-R1,1433,1501,965,-528,1595,-18,630,510
780,right2bottom-R1,1382,1533,965,-528,1595,-18,630,510
795,right2bottom-R1,1331,1565,965,-528,1595,-18,630,510
811,right2bottom-R1,1280,1597,965,-528,1595,-18,630,510
826,bottom2left-R1,1229,1565,965,-528,1595,-18,630,510
842,bottom2left-R1,1178,1533,965,-528,1595,-18,630,510
857,bottom2left-R1,1127,1501,965,-528,1595,-18,630,510
873,bottom2left-R1,1076,1469,965,-528,1595,-18,630,510
888,bottom2left-R1,1025,1438,965,-528,1595,-18,630,510
903,bottom2left-R1,974,1406,965,-528,1595,-18,630,510
919,bottom2left-R1,922,1374,965,-528,1595,-18,630,510
934,bottom2left-R1,871,1342,965,-528,1595,-18,630,510
950,bottom2left-R1,820,1310,965,-528,1595,-18,630,510
965,bottom2left-R1,769,1278,965,-528,1595,-18,630,510
981,bottom2left-R1,718,1246,965,-528,1595,-18,630,510
997,bottom2left-R1,667,1214,965,-528,1595,-18,630,510
1013,bottom2left-R1,616,1183,965,-528,1595,-18,630,510
1029,bottom2left-R1,565,1151,965,-528,1595,-18,630,510
1044,bottom2left-R1,514,1119,965,-528,1595,-18,630,510
1060,bottom2left-R1,463,1087,965,-528,1595,-18,630,510
1075,bottom2left-R1,412,1055,965,-528,1595,-18,630,510
1090,bottom2left-R1,361,1023,965,-528,1595,-18,630,510
