ms,round,dir,mouseX,L,T,R,B,W,H,cx,cy
0,0,base,854,539,0,1169,600,630,600,854,300
30,1,F,171,0,0,630,600,630,600,315,300
45,1,F,222,0,0,630,600,630,600,315,300
60,1,F,272,0,0,630,600,630,600,315,300
76,1,F,323,8,0,638,600,630,600,323,300
91,1,F,373,58,0,688,600,630,600,373,300
107,1,F,424,109,0,739,600,630,600,424,300
122,1,F,474,159,0,789,600,630,600,474,300
138,1,F,525,210,0,840,600,630,600,525,300
154,1,F,575,260,0,890,600,630,600,575,300
169,1,F,626,311,0,941,600,630,600,626,300
185,1,F,677,362,0,992,600,630,600,677,300
199,1,F,727,412,0,1042,600,630,600,727,300
215,1,F,778,463,0,1093,600,630,600,778,300
230,1,F,828,513,0,1143,600,630,600,828,300
246,1,F,879,564,0,1194,600,630,600,879,300
261,1,F,929,614,0,1244,600,630,600,929,300
276,1,F,980,665,0,1295,600,630,600,980,300
292,1,F,1030,665,0,1295,600,630,600,980,300
308,1,F,1081,766,0,1396,600,630,600,1081,300
324,1,F,1132,817,0,1447,600,630,600,1132,300
339,1,F,1182,867,0,1497,600,630,600,1182,300
354,1,F,1233,918,0,1548,600,630,600,1233,300
369,1,F,1283,968,0,1598,600,630,600,1283,300
385,1,F,1334,1019,0,1649,600,630,600,1334,300
400,1,F,1384,1069,0,1699,600,630,600,1384,300
416,1,F,1435,1120,0,1750,600,630,600,1435,300
431,1,F,1485,1170,0,1800,600,630,600,1485,300
447,1,F,1536,1221,0,1851,600,630,600,1536,300
462,1,B,1536,1221,0,1851,600,630,600,1536,300
478,1,B,1485,1170,0,1800,600,630,600,1485,300
494,1,B,1435,1120,0,1750,600,630,600,1435,300
510,1,B,1384,1069,0,1699,600,630,600,1384,300
540,1,B,1334,1069,0,1699,600,630,600,1384,300
556,1,B,1283,993,0,1623,600,630,600,1308,300
572,1,B,1233,918,0,1548,600,630,600,1233,300
587,1,B,1182,867,0,1497,600,630,600,1182,300
603,1,B,1132,817,0,1447,600,630,600,1132,300
618,1,B,1081,766,0,1396,600,630,600,1081,300
634,1,B,1030,715,0,1345,600,630,600,1030,300
665,1,B,980,665,0,1295,600,630,600,980,300
696,1,B,929,614,0,1244,600,630,600,929,300
727,1,B,879,564,0,1194,600,630,600,879,300
742,1,B,828,513,0,1143,600,630,600,828,300
774,1,B,778,463,0,1093,600,630,600,778,300
791,1,B,727,463,0,1093,600,630,600,778,300
805,1,B,677,362,0,992,600,630,600,677,300
822,1,B,626,362,0,992,600,630,600,677,300
837,1,B,575,260,0,890,600,630,600,575,300
867,1,B,525,210,0,840,600,630,600,525,300
868,1,B,474,210,0,840,600,630,600,525,300
898,1,B,424,109,0,739,600,630,600,424,300
929,1,B,373,58,0,688,600,630,600,373,300
945,1,B,323,8,0,638,600,630,600,323,300
961,1,B,272,8,0,638,600,630,600,323,300
992,1,B,222,0,0,630,600,630,600,315,300
1024,1,B,171,0,0,630,600,630,600,315,300
1055,2,F,171,0,0,630,600,630,600,315,300
1087,2,F,222,0,0,630,600,630,600,315,300
1118,2,F,272,0,0,630,600,630,600,315,300
1148,2,F,323,8,0,638,600,630,600,323,300
1179,2,F,373,58,0,688,600,630,600,373,300
1210,2,F,424,109,0,739,600,630,600,424,300
1225,2,F,474,159,0,789,600,630,600,474,300
1240,2,F,525,159,0,789,600,630,600,474,300
1256,2,F,575,260,0,890,600,630,600,575,300
1271,2,F,626,260,0,890,600,630,600,575,300
1286,2,F,677,362,0,992,600,630,600,677,300
1301,2,F,727,362,0,992,600,630,600,677,300
1317,2,F,778,463,0,1093,600,630,600,778,300
1332,2,F,828,463,0,1093,600,630,600,778,300
1348,2,F,879,564,0,1194,600,630,600,879,300
1364,2,F,929,564,0,1194,600,630,600,879,300
1380,2,F,980,665,0,1295,600,630,600,980,300
1396,2,F,1030,665,0,1295,600,630,600,980,300
1411,2,F,1081,766,0,1396,600,630,600,1081,300
1427,2,F,1132,766,0,1396,600,630,600,1081,300
1442,2,F,1182,867,0,1497,600,630,600,1182,300
1458,2,F,1233,867,0,1497,600,630,600,1182,300
1473,2,F,1283,968,0,1598,600,630,600,1283,300
1488,2,F,1334,968,0,1598,600,630,600,1283,300
1504,2,F,1384,1069,0,1699,600,630,600,1384,300
1520,2,F,1435,1069,0,1699,600,630,600,1384,300
1536,2,F,1485,1170,0,1800,600,630,600,1485,300
1551,2,F,1536,1221,0,1851,600,630,600,1536,300
1567,2,B,1536,1221,0,1851,600,630,600,1536,300
1582,2,B,1485,1170,0,1800,600,630,600,1485,300
1598,2,B,1435,1170,0,1800,600,630,600,1485,300
1614,2,B,1384,1170,0,1800,600,630,600,1485,300
1630,2,B,1334,1170,0,1800,600,630,600,1485,300
1646,2,B,1283,968,0,1598,600,630,600,1283,300
1661,2,B,1233,968,0,1598,600,630,600,1283,300
1677,2,B,1182,867,0,1497,600,630,600,1182,300
1693,2,B,1132,867,0,1497,600,630,600,1182,300
1708,2,B,1081,766,0,1396,600,630,600,1081,300
1724,2,B,1030,766,0,1396,600,630,600,1081,300
1739,2,B,980,665,0,1295,600,630,600,980,300
1755,2,B,929,665,0,1295,600,630,600,980,300
1770,2,B,879,564,0,1194,600,630,600,879,300
1786,2,B,828,564,0,1194,600,630,600,879,300
1801,2,B,778,463,0,1093,600,630,600,778,300
1816,2,B,727,463,0,1093,600,630,600,778,300
1832,2,B,677,362,0,992,600,630,600,677,300
1848,2,B,626,362,0,992,600,630,600,677,300
1864,2,B,575,260,0,890,600,630,600,575,300
1879,2,B,525,260,0,890,600,630,600,575,300
1895,2,B,474,159,0,789,600,630,600,474,300
1912,2,B,424,159,0,789,600,630,600,474,300
1928,2,B,373,58,0,688,600,630,600,373,300
1943,2,B,323,58,0,688,600,630,600,373,300
1958,2,B,272,0,0,630,600,630,600,315,300
1974,2,B,222,0,0,630,600,630,600,315,300
1990,2,B,171,0,0,630,600,630,600,315,300
2006,3,F,171,0,0,630,600,630,600,315,300
2021,3,F,222,0,0,630,600,630,600,315,300
2037,3,F,272,0,0,630,600,630,600,315,300
2053,3,F,323,8,0,638,600,630,600,323,300
2069,3,F,373,8,0,638,600,630,600,323,300
2084,3,F,424,109,0,739,600,630,600,424,300
2100,3,F,474,109,0,739,600,630,600,424,300
2116,3,F,525,210,0,840,600,630,600,525,300
2131,3,F,575,210,0,840,600,630,600,525,300
2147,3,F,626,311,0,941,600,630,600,626,300
2162,3,F,677,311,0,941,600,630,600,626,300
2178,3,F,727,412,0,1042,600,630,600,727,300
2194,3,F,778,412,0,1042,600,630,600,727,300
2209,3,F,828,513,0,1143,600,630,600,828,300
2226,3,F,879,513,0,1143,600,630,600,828,300
2241,3,F,929,614,0,1244,600,630,600,929,300
2257,3,F,980,614,0,1244,600,630,600,929,300
2272,3,F,1030,715,0,1345,600,630,600,1030,300
2288,3,F,1081,715,0,1345,600,630,600,1030,300
2303,3,F,1132,817,0,1447,600,630,600,1132,300
2319,3,F,1182,817,0,1447,600,630,600,1132,300
2334,3,F,1233,918,0,1548,600,630,600,1233,300
2351,3,F,1283,918,0,1548,600,630,600,1233,300
2366,3,F,1334,1019,0,1649,600,630,600,1334,300
2382,3,F,1384,1019,0,1649,600,630,600,1334,300
2397,3,F,1435,1120,0,1750,600,630,600,1435,300
2413,3,F,1485,1120,0,1750,600,630,600,1435,300
2428,3,F,1536,1221,0,1851,600,630,600,1536,300
2443,3,B,1536,1221,0,1851,600,630,600,1536,300
2458,3,B,1485,1170,0,1800,600,630,600,1485,300
2473,3,B,1435,1170,0,1800,600,630,600,1485,300
2489,3,B,1384,1069,0,1699,600,630,600,1384,300
2504,3,B,1334,1069,0,1699,600,630,600,1384,300
2521,3,B,1283,968,0,1598,600,630,600,1283,300
2536,3,B,1233,968,0,1598,600,630,600,1283,300
2551,3,B,1182,867,0,1497,600,630,600,1182,300
2570,3,B,1132,817,0,1447,600,630,600,1132,300
2598,3,B,1081,766,0,1396,600,630,600,1081,300
2613,3,B,1030,715,0,1345,600,630,600,1030,300
2630,3,B,980,715,0,1345,600,630,600,1030,300
2646,3,B,929,614,0,1244,600,630,600,929,300
2662,3,B,879,614,0,1244,600,630,600,929,300
2677,3,B,828,513,0,1143,600,630,600,828,300
2693,3,B,778,513,0,1143,600,630,600,828,300
2708,3,B,727,412,0,1042,600,630,600,727,300
2724,3,B,677,412,0,1042,600,630,600,727,300
2739,3,B,626,412,0,1042,600,630,600,727,300
2755,3,B,575,412,0,1042,600,630,600,727,300
2770,3,B,525,210,0,840,600,630,600,525,300
2785,3,B,474,210,0,840,600,630,600,525,300
2800,3,B,424,109,0,739,600,630,600,424,300
2816,3,B,373,109,0,739,600,630,600,424,300
2832,3,B,323,8,0,638,600,630,600,323,300
2848,3,B,272,8,0,638,600,630,600,323,300
2864,3,B,222,0,0,630,600,630,600,315,300
2879,3,B,171,0,0,630,600,630,600,315,300
