ms,round,dir,mouseX,L,T,R,B,W,H,cx,cy
0,0,base,854,539,0,1169,510,630,510
25,1,F,171,0,-510,630,0,630,510,315,-255
41,1,F,222,0,-510,630,0,630,510,315,-255
56,1,F,272,0,-138,630,372,630,510,315,117
72,1,F,323,0,-138,630,372,630,510,315,117
88,1,F,373,0,-77,630,433,630,510,315,178
104,1,F,424,0,-77,630,433,630,510,315,178
120,1,F,474,0,-24,630,486,630,510,315,231
135,1,F,525,0,-24,630,486,630,510,315,231
150,1,F,575,0,-5,630,505,630,510,315,250
167,1,F,626,0,-5,630,505,630,510,315,250
182,1,F,677,272,0,902,510,630,510,587,255
197,1,F,727,377,0,1007,510,630,510,692,255
212,1,F,778,463,-510,1093,0,630,510,778,-255
228,1,F,828,463,-510,1093,0,630,510,778,-255
244,1,F,879,463,-346,1093,164,630,510,778,-91
259,1,F,929,463,-346,1093,164,630,510,778,-91
275,1,F,980,463,-346,1093,164,630,510,778,-91
291,1,F,1030,463,-346,1093,164,630,510,778,-91
307,1,F,1081,766,0,1396,510,630,510,1081,255
323,1,F,1132,817,0,1447,510,630,510,1132,255
338,1,F,1182,817,0,1447,510,630,510,1132,255
354,1,F,1233,918,0,1548,510,630,510,1233,255
369,1,F,1283,918,0,1548,510,630,510,1233,255
385,1,F,1334,1019,0,1649,510,630,510,1334,255
401,1,F,1384,1019,0,1649,510,630,510,1334,255
416,1,F,1435,1120,0,1750,510,630,510,1435,255
432,1,F,1485,1120,0,1750,510,630,510,1435,255
447,1,F,1536,1221,0,1851,510,630,510,1536,255
463,1,B,1536,1221,0,1851,510,630,510,1536,255
478,1,B,1485,1170,0,1800,510,630,510,1485,255
494,1,B,1435,1170,0,1800,510,630,510,1485,255
509,1,B,1384,1069,0,1699,510,630,510,1384,255
524,1,B,1334,1069,0,1699,510,630,510,1384,255
539,1,B,1283,968,0,1598,510,630,510,1283,255
556,1,B,1233,968,0,1598,510,630,510,1283,255
571,1,B,1182,867,0,1497,510,630,510,1182,255
587,1,B,1132,867,0,1497,510,630,510,1182,255
603,1,B,1081,766,0,1396,510,630,510,1081,255
619,1,B,1030,766,0,1396,510,630,510,1081,255
634,1,B,980,665,0,1295,510,630,510,980,255
651,1,B,929,665,0,1295,510,630,510,980,255
666,1,B,879,564,0,1194,510,630,510,879,255
682,1,B,828,564,0,1194,510,630,510,879,255
697,1,B,778,463,0,1093,510,630,510,778,255
713,1,B,727,463,0,1093,510,630,510,778,255
728,1,B,677,362,0,992,510,630,510,677,255
744,1,B,626,362,0,992,510,630,510,677,255
760,1,B,575,260,0,890,510,630,510,575,255
775,1,B,525,260,0,890,510,630,510,575,255
791,1,B,474,159,0,789,510,630,510,474,255
807,1,B,424,159,0,789,510,630,510,474,255
823,1,B,373,58,0,688,510,630,510,373,255
839,1,B,323,58,0,688,510,630,510,373,255
855,1,B,272,0,0,630,510,630,510,315,255
871,1,B,222,0,0,630,510,630,510,315,255
886,1,B,171,0,0,630,510,630,510,315,255
902,2,F,171,0,0,630,510,630,510,315,255
918,2,F,222,0,0,630,510,630,510,315,255
949,2,F,272,0,0,630,510,630,510,315,255
980,2,F,323,8,0,638,510,630,510,323,255
996,2,F,373,58,0,688,510,630,510,373,255
1011,2,F,424,58,0,688,510,630,510,373,255
1042,2,F,474,159,0,789,510,630,510,474,255
1058,2,F,525,210,0,840,510,630,510,525,255
1074,2,F,575,210,0,840,510,630,510,525,255
1089,2,F,626,311,0,941,510,630,510,626,255
1105,2,F,677,311,0,941,510,630,510,626,255
1136,2,F,727,412,0,1042,510,630,510,727,255
1151,2,F,778,463,0,1093,510,630,510,778,255
1167,2,F,828,463,0,1093,510,630,510,778,255
1184,2,F,879,564,0,1194,510,630,510,879,255
1200,2,F,929,564,0,1194,510,630,510,879,255
1231,2,F,980,665,0,1295,510,630,510,980,255
1246,2,F,1030,715,0,1345,510,630,510,1030,255
1262,2,F,1081,715,0,1345,510,630,510,1030,255
1293,2,F,1132,817,0,1447,510,630,510,1132,255
1324,2,F,1182,867,0,1497,510,630,510,1182,255
1340,2,F,1233,918,0,1548,510,630,510,1233,255
1356,2,F,1283,918,0,1548,510,630,510,1233,255
1372,2,F,1334,918,0,1548,510,630,510,1233,255
1388,2,F,1384,918,0,1548,510,630,510,1233,255
1403,2,F,1435,1120,0,1750,510,630,510,1435,255
1419,2,F,1485,1120,0,1750,510,630,510,1435,255
1449,2,F,1536,1221,0,1851,510,630,510,1536,255
1465,2,B,1536,1221,0,1851,510,630,510,1536,255
1480,2,B,1485,1221,0,1851,510,630,510,1536,255
1496,2,B,1435,1120,0,1750,510,630,510,1435,255
1511,2,B,1384,1120,0,1750,510,630,510,1435,255
1543,2,B,1334,1019,0,1649,510,630,510,1334,255
1574,2,B,1283,968,0,1598,510,630,510,1283,255
1590,2,B,1233,918,0,1548,510,630,510,1233,255
1622,2,B,1182,867,0,1497,510,630,510,1182,255
1653,2,B,1132,817,0,1447,510,630,510,1132,255
1669,2,B,1081,817,0,1447,510,630,510,1132,255
1701,2,B,1030,715,0,1345,510,630,510,1030,255
1716,2,B,980,665,0,1295,510,630,510,980,255
1746,2,B,929,614,0,1244,510,630,510,929,255
1776,2,B,879,564,0,1194,510,630,510,879,255
1791,2,B,828,513,0,1143,510,630,510,828,255
1807,2,B,778,513,0,1143,510,630,510,828,255
1822,2,B,727,412,0,1042,510,630,510,727,255
1837,2,B,677,412,0,1042,510,630,510,727,255
1852,2,B,626,311,0,941,510,630,510,626,255
